Player,SR
RD Woolley (AUS),81.57
M Yachad (SA),40.25
BE Young (AUS),65.95
GJ Batty (ENG),41.09
SL Boock (NZ),96.77
M Cheruparambil (HKG),57.69
PT Collins (WI),60.0
BL D'Oliveira (ENG),69.76
Ehsan Nawaz (HKG),34.48
MVT Fernando (SL),49.18
EE Hemmings (ENG),49.18
AJ Ireland (ZIM),29.7
FJ Klaassen (NL),57.69
IT Shillingford (WI),78.94
PA van Meekeren (NL),75.0
JCB Vaughan (CAN),54.54
JS Ababu (KENYA),46.03
N Pradeep (SL),37.66
TCB Fernando (SL),49.15
BW Hilfenhaus (AUS),42.02
Imran Abbas (PAK),46.03
DI Joyce (IRE),51.78
ARM Opatha (SL),52.72
KJ Wright (AUS),55.76
Adeel Raja (NL),20.14
WW Davis (WI),52.83
JD Hall (IRE),37.33
Kamran Hussain (PAK),133.33
Mohammad Hasnain (PAK),155.55
DS Mohanty (INDIA),49.12
Taslim Arif (PAK),48.27
Ehsan Adil (PAK),64.28
TJ Franklin (NZ),30.33
TG Gordon (CAN),45.76
TJ Heggelman (NL),31.76
HAPW Jayawardene (SL),61.36
TP Kamungozi (ZIM),49.09
BL Kotze (NAM),52.94
DS Kulkarni (INDIA),96.42
WM Lawry (AUS),55.1
Mohsin Kamal (PAK),67.5
Mujahid Jamshed (PAK),50.0
RJ Robinson (BMUDA),67.5
Rumman Raees (PAK),112.5
ED Solkar (INDIA),34.17
BA Williams (AUS),58.69
Zakir Khan (PAK),42.85
Aizaz Cheema (PAK),57.77
BJ Diamanti (NZ),118.18
BG Hadlee (NZ),27.95
RC Haynes (WI),39.39
Khurram Nawaz (OMAN),53.06
A Kuruvilla (INDIA),60.46
Mosharraf Hossain (BDESH),34.66
MS Panesar (ENG),28.57
Pervez Mir (PAK),59.09
CEB Rice (SA),70.27
TG Shaw (SA),74.28
SL Stewart (NZ),44.06
Tareq Aziz (BDESH),35.61
BO van Rooi (NAM),68.42
RJ van Vuuren (NAM),68.42
Wasim Haider (PAK),37.14
Zain Abbas (HKG),48.14
Sultan Zarawani (UAE),41.93
RJ Blakey (ENG),50.0
DK Butler (WI),73.52
JJ Dawood (CAN),131.57
MLC Foster (WI),40.32
S Jeganathan (SL),64.1
KA Maharaj (SA),96.15
GMC Mol (NL),46.29
Nasir Ahmed (BDESH),40.32
A Patel (CAN),86.2
AK Sah (NEPAL),71.42
Saleem Altaf (PAK),47.16
Sayed Shirzad (AFG),147.05
Shahid Nazir (PAK),58.13
Sohail Khan (PAK),49.01
SW Tait (AUS),86.2
SK Atai (PNG),42.1
MR Benson (ENG),41.37
AN French (HKG),28.57
ST Gabriel (WI),38.09
SF Graf (AUS),48.0
JPR Lamsam (HKG),51.06
SW Lubbers (NL),64.86
DJ Malan (ENG),80.0
MJ Mason (NZ),53.33
Naeem Ashraf (PAK),55.81
SB O'Connor (NZ),26.37
SP Pasqual (SL),85.71
N Pothas (SA),58.53
Rafiqul Alam (BDESH),38.09
Sheikh Salahuddin (BDESH),17.64
ML Su'a (NZ),42.85
Amir Hamza (AFG),24.46
JO Angara (KENYA),35.93
HAG Anthony (WI),104.54
Asim Butt (SCOT),82.14
SV Bahutule (INDIA),79.31
J Figy John (UAE),63.88
SC Getkate (IRE),100.0
AE Greenidge (WI),69.69
Hasti Gul (AFG),209.09
E Katchay (CAN),56.09
J Louw (SA),328.57
SJ Massiah (USA),52.27
AJ Penn (NZ),69.69
V Razdan (INDIA),85.18
CP Tremain (AUS),62.16
Waheed Ahmed (UAE),45.09
Afzaal Haider (HKG),42.3
UNK Fernando (SL),88.0
DW Headley (ENG),44.89
Kamran Shazad (UAE),88.0
Mohammad Salman (PAK),56.41
Shafiuddin Ahmed (BDESH),33.33
BR Taylor (NZ),52.38
CM Wells (ENG),50.0
Ali Asad (UAE),44.68
B Arun (INDIA),65.62
AB Dinda (INDIA),58.33
Karan KC (NEPAL),91.3
S Keshvani (CAN),55.26
MAWR Madurasinghe (SL),33.87
J Patraj (CAN),43.75
K Pierre (WI),116.66
DA Stirling (NZ),53.84
I Wardlaw (SCOT),52.5
RA Woolmer (ENG),45.65
SP Davis (AUS),58.82
O Henry (SA),76.92
AP Igglesden (ENG),64.51
MR Johnson (USA),105.26
MMA Jonkman (NL),39.21
BM Mauricette (CAN),29.41
DT Mutendera (ZIM),46.51
Najmul Hossain Shanto (BDESH),44.44
IL Philip (SCOT),22.47
ADJ Pitcher (BMUDA),71.42
Rizwan-uz-Zaman (PAK),15.5
AF Sattaur (CAN),33.33
PH Sharma (INDIA),51.28
S Shivnarine (WI),46.51
Umair Ali (UAE),66.66
KIW Wijegunawardene (SL),36.36
CA Young (IRE),62.5
JP Behrendorff (AUS),126.66
JJ Bumrah (INDIA),44.18
JW Dernbach (ENG),48.71
EL Gouka (NL),52.77
RGA Headley (WI),46.34
S Jora (NEPAL),95.0
T Kumaran (INDIA),70.37
MA Meman (ZIM),86.36
V Permaul (WI),73.07
HSM Pieris (SL),32.2
Sami Faridi (CAN),61.29
MJ Smith (SCOT),22.35
Sunzamul Islam (BDESH),79.16
C Viljoen (NAM),82.6
AG Wharf (ENG),67.85
KOK Williams (WI),70.37
SG Borthwick (ENG),112.5
DL Chahar (INDIA),81.81
CEH Croft (WI),47.36
HJ Howarth (NZ),69.23
Jamaluddin Ahmed (BDESH),64.28
F Kasteni (ZIM),42.85
AV Lalcheta (OMAN),38.29
JJC Lawson (WI),112.5
Munir Dar (HKG),112.5
Saleem Pervez (PAK),46.15
LR Shukla (INDIA),94.73
Sultan Ahmed (UAE),42.85
Syed Maqsood (UAE),41.86
Tanvir Ahmed (PAK),150.0
K Whatham (CAN),43.9
RGCE Wijesuriya (SL),37.5
Zulqarnain (PAK),60.0
GI Allott (NZ),30.35
SM Curran (ENG),58.62
IS Gallage (SL),62.96
RD Gudhka (KENYA),121.42
MJ Hoggard (ENG),56.66
Ilyas Gull (HKG),28.81
Intikhab Alam (PAK),37.77
IT Iqbal (KENYA),32.69
RSA Jayasekera (SL),40.47
KCB Jeremy (WI),40.47
RJ Kennedy (NZ),113.33
CBRLS Kumara (SL),37.77
P Lever (ENG),70.83
PHKD Mendis (SL),44.73
Raqibul Hasan (BDESH),26.15
CEW Silverwood (ENG),50.0
S Abrahams (SA),61.53
RW Anderson (NZ),34.78
JH Desai (USA),42.1
AM Guruge (UAE),55.17
N Ifill (CAN),35.55
Jahangir Shah (BDESH),25.8
RL Johnson (ENG),80.0
SB Lama (HKG),33.33
BP Loots (NL),59.25
RAL Massie (AUS),66.66
B Muzarabani (ZIM),17.97
KJ O'Keeffe (AUS),42.1
FN Otieno (KENYA),23.52
ADG Roberts (NZ),66.66
V Shetty (UAE),55.17
Shubman Gill (INDIA),50.0
CB Sole (SCOT),44.44
S Somasunder (INDIA),25.39
J Theron (SA/USA),53.33
BTJ Wheal (SCOT),51.61
PJW Allott (ENG),60.0
KN Amalean (SL),57.69
RR Beaton (WI),29.41
HF Gurney (ENG),45.45
JR Hammond (AUS),53.57
RS Higgins (ZIM),23.8
DAW Hollis (BMUDA),57.69
Irfan Fazil (PAK),93.75
GE Kidd (IRE),60.0
BW Luckhurst (ENG),21.73
Mansoor Rana (PAK),62.5
Mohammad Zahid (PAK),68.18
J Mulder (IRE),136.36
EMDY Munaweera (SL),51.72
Nurul Abedin (BDESH),27.27
HD Rutherford (NZ),26.78
Sajjad Ahmed (BDESH),32.6
DM Smith (ENG),37.5
LW Stokkers (NL),37.5
Tariq Javed (CAN),19.48
PCR Tufnell (ENG),48.38
PS Vaidya (INDIA),125.0
A van der Merwe (IRE),60.0
AP Wells (ENG),150.0
Zafar Gohar (PAK),100.0
Ahsan Malik (NL),51.85
Asghar Ali (UAE),26.41
Asif Mahmood (PAK),41.17
IPP Batuwitarachchi (UAE),29.16
AR Butcher (ENG),53.84
G Chapple (ENG),200.0
LA Dawson (ENG),82.35
HS Dhillon (CAN),40.0
EA Essop-Adam (ZIM),93.33
SKW Kelly (BMUDA),45.16
LD Madushanka (SL),53.84
AA Mallett (AUS),38.88
Mohammad Akram (PAK),41.17
Nadeem Ghauri (PAK),56.0
R Ngarava (ZIM),46.66
IA Nicolson (ZIM),63.63
D Soraine (CAN),70.0
GE Vivian (NZ),46.66
LJ Woodcock (NZ),63.63
Zahid Razzak (BDESH),31.81
Aamer Nazir (PAK),65.0
Aamir Kaleem (OMAN),81.25
JC Archer (ENG),59.09
Asad Ali (PAK),81.25
LS Baker (WI),56.52
MD Bates (NZ),130.0
GA Bishop (AUS),29.54
GK Bose (INDIA),72.22
NG Cowans (ENG),44.82
HT Davis (NZ),39.39
RR Emrit (WI),37.14
Gurkeerat Singh (INDIA),100.0
RL Hayes (NZ),52.0
RO Hurley (WI),40.62
D Joseph (CAN),54.16
JJ Krejza (AUS),56.52
AMN Munasinghe (SL),25.0
B Regmi (NEPAL),27.65
S Seeraj (CAN),108.33
O Thomas (WI),24.52
Usman Salahuddin (PAK),46.42
HN Ya France (NAM),260.0
Zaheer Maqsood (UAE),28.26
Asim Saeed (UAE),63.15
DM Basden (BMUDA),30.76
GK Bruk-Jackson (ZIM),36.36
Danish Kaneria (PAK),54.54
IC Davis (AUS),34.28
RP de Groen (NZ),33.33
AM de Silva (SL),50.0
R Dhawan (INDIA),92.3
Enamul Haque jnr (BDESH),63.15
M Hayward (SA),42.85
Imtiaz Abbasi (UAE),31.57
Javed Qadeer (PAK),52.17
TJ Jenner (AUS),48.0
AJ McKay (NZ),25.53
PS Mehta (EAf),29.26
PJK Mooney (IRE),133.33
T Muzarabani (ZIM),30.0
Naeemuddin Aslam (UAE),38.7
TS Nethula (NZ),109.09
Noor-ul-Haq (AFG),20.68
EJ Richardson (IRE),66.66
P Sarraf (NEPAL),66.66
S Snater (NL),85.71
Abul Hasan (BDESH),68.75
Ahmed Kamal (BDESH),57.89
MJD Allingham (SCOT),11.45
Arshad Pervez (PAK),23.4
J Blackwood (WI),47.82
LJ Burger (NAM),17.74
SF Burger (NAM),55.0
PH Carlson (AUS),36.66
BS Chandrasekhar (INDIA),84.61
PA Emery (AUS),84.61
Haafiz Shahid (PAK),47.82
GW Humpage (ENG),45.83
Jasdeep Singh (USA),28.2
NGRP Jayasuriya (SL),84.61
SMS Kaluperuma (SL),26.82
SC Kuggeleijn (NZ),183.33
NM Kulkarni (INDIA),55.0
JA Maclean (AUS),33.33
PM Pushpakumara (SL),42.3
B Reddy (INDIA),55.0
Saad Ali (PAK),47.82
G Sharma (INDIA),45.83
R Sharma (HKG),45.83
FJ Titmus (ENG),34.37
GD Watson (AUS),68.75
JG Williamson (SCOT),31.42
Zahid Shah (UAE),55.0
TR Ambrose (ENG),29.41
MA Aponso (SL),22.22
Asif Masood (PAK),58.82
HK Bennett (NZ),28.57
D Brown (WI),50.0
ML Cummins (WI),37.03
DLS de Silva (SL),28.57
JJ Esmeijer (NL),23.25
B Geeves (AUS),90.9
W Jaffer (INDIA),43.47
Kabir Khan (PAK),40.0
AV Kale (INDIA),45.45
NJ MacRae (SCOT),27.77
CA Marshall (CAN),24.39
A Martin (WI),34.48
BMW Patterson (SCOT),23.25
Shabbir Ahmed (PAK),34.48
Shariful Haque (BDESH),166.66
RAJ Smith (SCOT),166.66
TE Srinivasan (INDIA),28.57
MP Stead (CAN),22.22
GC Tonge (WI),62.5
MDJ Walker (NZ),166.66
WA Wisneski (NZ),58.82
AK Zesers (AUS),71.42
KK Ahmed (INDIA),52.94
MJ Bennett (AUS),42.85
SM Boland (AUS),40.9
CE Bulfin (NZ),112.5
SJ Cameron (SCOT),69.23
SJ Chalmers (SCOT),64.28
NA David (INDIA),90.0
GN de Silva (SL),50.0
GRA de Silva (SL),27.27
DR Doshi (INDIA),45.0
CJ Drum (NZ),40.9
S Dube (INDIA),150.0
Fahad Usman (UAE),50.0
Faisal Athar (PAK),23.68
SP Gauchan (NEPAL),20.45
MJ Haslam (NZ),50.0
AG Huckle (ZIM),56.25
HR Johnson (USA),45.0
Karim Janat (AFG),27.27
JB Little (IRE),112.5
DE Malcolm (ENG),81.81
Mohammad Salim (BDESH),37.5
PG Nana (EAf),20.0
Naveen-ul-Haq (AFG),42.85
Qadeer Ahmed (UAE),29.03
LS Rajput (INDIA),29.03
Rashid Zia (USA),15.78
JA Snow (ENG),21.95
OP Stone (ENG),128.57
GP Sulzberger (NZ),60.0
AJ Tudor (ENG),81.81
VB van Jaarsveld (SA),60.0
Zahid Hussain (CAN),29.03
VR Aaron (INDIA),53.33
Asif Iqbal (1) (UAE),100.0
RA Austin (WI),61.53
BS Browne (WI),33.33
CJ Dala (SA),133.33
H Davids (SA),33.33
PA Desai (CAN),14.54
R Dhanraj (WI),25.0
P Dharmani (INDIA),100.0
TL Fernando (SL),133.33
JC Gamage (SL),88.88
Gholam Nousher (BDESH),50.0
Hafizur Rahman (BDESH),33.33
ND Hirwani (INDIA),27.58
KH Butt (HKG),28.57
ACI Lock (ZIM),40.0
MA Lynch (ENG),25.0
CS Martin (NZ),29.62
EZ Matambanadzo (ZIM),24.24
MG Neser (AUS),50.0
A Nortje (SA),44.44
PDRL Perera (SL),44.44
Rahat Ali (PAK),21.62
SS Raul (INDIA),57.14
CA Reid (USA),47.05
RL Sanghvi (INDIA),72.72
VRV Singh (INDIA),61.53
Sohail Butt (UAE),57.14
DS Steele (ENG),66.66
DM Vonhagt (SL),47.05
HS Williams (SA),72.72
NP Kenjige (USA),233.33
RW Ali (KENYA),25.0
J Cameron-Dow (IRE),70.0
KG Duers (ZIM),35.0
Fazl-e-Akbar (PAK),87.5
WCA Ganegama (SL),77.77
DM Gondaria (KENYA),15.55
JOA Gordon (CAN),25.0
VR Hogg (ZIM),36.84
AG Hurst (AUS),36.84
Izatullah Dawlatzai (AFG),25.92
SD Jack (SA),87.5
Jahangir Alam Talukdar (BDESH),43.75
MKGCP Lakshitha (SL),58.33
Liaqat Ali (PAK),22.58
DSK Madushanka (SL),116.66
GA Manou (AUS),116.66
PL Mhambrey (INDIA),140.0
EA Moseley (WI),46.66
JK Moss (AUS),43.75
Nazmul Islam (BDESH),53.84
M Pushpakumara (SL),36.84
RA Reifer (WI),58.33
IDK Salisbury (ENG),58.33
BM Scholtz (NAM),33.33
K Shuttleworth (ENG),36.84
EHSN Silva (UAE),53.84
NA Statham (NL),14.0
RJW Topley (ENG),17.5
RF van Oosterom (NL),25.92
SG Whittingham (SCOT),41.17
T Yohannan (INDIA),63.63
MKDI Amerasinghe (SL),66.66
Bhupinder Singh snr (INDIA),46.15
IW Callen (AUS),46.15
GD Campbell (AUS),31.57
U Chatterjee (INDIA),20.0
MT Chinouya (ZIM),75.0
DDP D'Silva (UAE),42.85
WP Diepeveen (NL),85.71
SO Dowrich (WI),75.0
CE Eksteen (SA),24.0
Fahim Muntasir (BDESH),35.29
AP Grayson (ENG),46.15
Harilal Shah (EAf),10.71
Harvinder Singh (INDIA),31.57
M Hendrick (ENG),27.27
CC Henry (CAN),42.85
P Krishnamurthy (INDIA),46.15
MJ North (AUS),31.57
LN Oluoch (KENYA),100.0
AK Patel (INDIA),54.54
DB Rundle (SA),54.54
R Shepherd (WI),66.66
Usman Shinwari (PAK),85.71
RJ Webb (NZ),60.0
DJ Worrall (AUS),150.0
Aijaz Ali (USA),45.45
RT Crandon (WI),55.55
N Fernandes (UAE),38.46
R Illingworth (ENG),27.77
Jalal-ud-Din (PAK),100.0
Jubair Hossain (BDESH),55.55
Khalid Khan (HKG),62.5
H McLeod (EAf),50.0
Mansoor Amjad (PAK),50.0
Maqsood Rana (PAK),38.46
Najeeb Tarakai (AFG),27.77
Naumanullah (PAK),125.0
Neeyamur Rashid (BDESH),100.0
DJ Pringle (EAf),33.33
LN Rajbanshi (NEPAL),25.0
D Ramnarine (WI),38.46
Sajjad Akbar (PAK),55.55
L Sivaramakrishnan (INDIA),20.83
G Snyman (NAM),55.55
Talha Jubair (BDESH),33.33
Tanbir Hayder (BDESH),31.25
DJ Terbrugge (SA),35.71
RK Whelan (IRE),41.66
Al-Amin Hossain (BDESH),20.0
LS Bhandari (NEPAL),44.44
MI Black (WI),28.57
PS Eaglestone (IRE),133.33
Fawad Ahmed (AUS),200.0
PJ Franks (ENG),23.52
PLS Gamage (SL),14.81
D Ganesh (INDIA),50.0
WT Gavera (PNG),66.66
Z Groenewald (NAM),21.05
Gursharan Singh (INDIA),40.0
SD Heazlett (AUS),36.36
Jahangir Alam (BDESH),18.18
ML Lewis (AUS),100.0
CH Lonsdale (BMUDA),14.28
Mohammad Nazir (PAK),25.0
GK Pandey (INDIA),36.36
PI Pocock (ENG),44.44
LN Roche (ZIM),40.0
AM Salvi (INDIA),28.57
Samiur Rahman (BDESH),57.14
BB Seebaran (CAN),30.76
Shahzad Khan (CAN),33.33
B Stanlake (AUS),14.28
RW Staple (USA),36.36
PJR Steyn (SA),28.57
R Sudhakar Rao (INDIA),28.57
S Sumar (EAf),36.36
Tanveer Ahmed (HKG),36.36
VAB Tewarie (NL),18.18
GS Trimble (AUS),80.0
T van der Gugten (NL),66.66
S Vesawkar (NEPAL),26.66
SL Watkin (ENG),17.39
UWMBCA Welegedara (SL),44.44
RPAH Wickramaratne (SL),66.66
P Wilson (AUS),30.76
M Zondeki (Afr/SA),80.0
SA Abbott (AUS),42.85
Abdullah Mazari (AFG),18.75
Ali Khan (USA),27.27
CR Amini (PNG),100.0
RA Bhatti (CAN),75.0
JWHD Boteju (SL),27.27
NR Dyer (SCOT),21.42
D Gamage (SL),30.0
LJ Hamilton (NZ),50.0
RT Hart (NZ),10.34
PD Heyn (SL),15.0
Ijaz Ahmed jnr (PAK),150.0
Junaid Siddique (UAE),30.0
CK Kruger (HKG),15.0
Mahbubur Rahman (BDESH),37.5
Mazharul Haque (BDESH),16.66
MC Mendis (SL),150.0
CT Mumba (ZIM),42.85
DJ Murray (NZ),17.64
SV Nayak (INDIA),15.78
IE O'Brien (NZ),27.27
Pankaj Singh (INDIA),100.0
JM Patel (CAN),13.04
MJ Petrie (SCOT),16.66
GD Porter (AUS),33.33
U Ranchod (ZIM),50.0
RE Redmond (NZ),27.27
Sagar Pun (NEPAL),15.0
A Shamshudeen (CAN),10.71
CEL Stuart (WI),23.07
Usman Mushtaq (UAE),42.85
JN Valentine (CAN),17.64
CJPG van Zyl (SA),27.27
Yamin Ahmadzai (AFG),15.78
Zahid Ahmed (PAK),23.07
MZ Zahir (CAN),23.07
Zakiullah Zaki (AFG),13.63
JP Agnew (ENG),66.66
Ahmed Shah (AFG),20.0
Anisur Rahman (BDESH),18.18
HWR Cartwright (AUS),8.69
DJ Cullen (AUS),66.66
BR Dorey (AUS),25.0
WJ Edwards (AUS),14.28
Elias Sunny (BDESH),18.18
Fahad Nawaz (UAE),20.0
PG Gillespie (IRE),14.28
AAW Gunawardena (SL),20.0
R Hekure (PNG),25.0
BE Hendricks (SA),25.0
KC Hodsoll (BMUDA),28.57
Hussain Talat (PAK),14.28
Ibrahim Zadran (AFG),22.22
Irfan Sajid (UAE),40.0
Junaid Zia (PAK),28.57
K Kamyuka (CAN),100.00
Kashif Raza (PAK),100.00
RJ Kirtley (ENG),18.18
Masood Iqbal (PAK),100.00
SC Meaker (ENG),12.50
DWO Morgan (BMUDA),18.18
Morshed Ali Khan (BDESH),50.00
SP Mukherjee (INDIA),100.00
Nadeem Khan (PAK),66.66
Nasir Javed (USA),10.52
DR O'Sullivan (NZ),40.00
R Pathan (CAN),22.22
MR Pydanna (WI),66.66
ACL Richards (WI),100.00
Sameer Zia (UAE),10.00
JNK Shannon (IRE),25.00
GJ Thompson (IRE),9.52
PIC Thompson (WI),28.57
MS Tshabalala (SA),66.66
AP Weerakkody (SL),50.00
MD Wettimuny (SL),18.18
DF Whatmore (AUS),33.33
AGD Wickremasinghe (SL),20.00
Abdul Rehman (UAE),7.69
Abu Hider (BDESH),9.09
Alawi Shukri (UAE),33.33
Aminul Islam jnr (BDESH),-
PJ Bakker (NL),25.00
KMC Bandara (SL),33.33
Bilal Khan (OMAN),14.28
GA Cope (ENG),100.00
MC Cowdrey (ENG),20.00
CI Dunusinghe (SL),100.00
MTG Elliott (AUS),16.66
Fareed Ahmad (AFG),16.66
RS Ghai (INDIA),33.33
Gurdeep Singh (KENYA),4.34
Iqbal Sikander (PAK),33.33
SA Jayasinghe (SL),33.33
SP Jones (ENG),50.00
S Kaul (INDIA),33.33
B Laughlin (AUS),11.11
SCG MacGill (AUS),33.33
Mahmood Hamid (PAK),16.66
GJ McCarter (IRE),100.00
JM Mennie (AUS),25.00
Mohammad Kashif (NL),5.88
Moniruzzaman (BDESH),5.00
PV Mpitsang (SA),100.00
M Mulla (CAN),9.09
W Mwayenga (ZIM),9.09
DP Nannes (AUS),50.00
Nasim-ul-Ghani (PAK),12.50
NV Ojha (INDIA),14.28
G Onions (ENG),50.00
KA Patel (KENYA),25.00
Y Punja (UAE),16.66
RR Ramdass (WI),11.11
SJ Roberts (NZ),50.00
LC Romero (USA),14.28
R Sharma (INDIA),50.00
KJ Silva (SL),100.00
AM Stuart (AUS),14.28
Subashis Roy (BDESH),11.11
JP Taylor (ENG),12.50
LB Taylor (ENG),16.66
JG Thomas (ENG),14.28
S Tyagi (INDIA),50.00
KPJ Warnaweera (SL),9.09
BA Westdijk (NL),16.66
J Yadav (INDIA),100.00
NS Yadav (INDIA),6.25
B Yograj Singh (INDIA),8.33
Yunus Badat (EAf),14.28
Aman Ali (UAE),0.00
J Angel (AUS),0.00
Anwar Hossain Monir (BDESH),0.00
S Baksh (CAN),0.00
MRCN Bandaratilleke (SL),0.00
JE Benjamin (ENG),0.00
A Bhandari (INDIA),-
DL Blake (USA),0.00
BP Bracewell (NZ),0.00
RG Callender (CAN),0.00
NM Carter (SCOT),0.00
K Christie (HKG),0.00
Fahad Alhashmi (UAE),0.00
Fazle Mahmud (BDESH),0.00
R Flannigan (SCOT),0.00
LR Gibbs (WI),-
N Gifford (ENG),0.00
VD Grandia (NL),0.00
Hamza Tahir (SCOT),0.00
RG Hart (NZ),0.00
Harunur Rashid (BDESH),0.00
SM Harwood (AUS),0.00
Ishtiaq Muhammad (HKG),-
Kaleemullah (OMAN),0.00
PHT Kaushal (SL),0.00
GJP Kruger (SA),0.00
AGR Loudon (ENG),-
OC McCoy (WI),0.00
AW Mathieson (NZ),-
KP Meiyappan (UAE),0.00
JP Millmow (NZ),0.00
Mohammad Khalil (PAK),-
Mohammad Talha (PAK),0.00
D Mohammed (WI),0.00
Naeem Ahmed (PAK),0.00
Najaf Shah (PAK),0.00
Naseer Malik (PAK),0.00
Nasir Hameed (HKG),0.00
AM Nayar (INDIA),0.00
N Ncube (ZIM),-
A Neill (SCOT),0.00
MB Owens (NZ),0.00
NM Parker (NZ),0.00
NT Pascal (WI),0.00
N Phillip (WI),0.00
AG Puttick (SA),0.00
NV Radford (ENG),0.00
Rafiqul Islam (BDESH),0.00
CAK Rajitha (SL),0.00
DR Ramsammy (CAN),0.00
N Ranatunga (SL),0.00
Raza Hasan (PAK),0.00
Rizwan Latif (UAE),0.00
Robiul Islam (BDESH),0.00
Saqib Zulfiqar (NL),0.00
Shadab Kabir (PAK),0.00
Shakeel Khan (PAK),0.00
T Shamsi (SA),0.00
Simandeep Singh (HKG),0.00
GS Sobers (WI),0.00
Tanvir Mehdi (PAK),0.00
M Venkataramana (INDIA),-
R Walters (NAM),0.00
CM Willoughby (SA),0.00
Zakir Hossain (BDESH),0.00
Aamer Hameed (PAK),-
Abdur Rauf (PAK),-
Abu Jayed (BDESH),-
FS Ahangama (SL),-
GW Aldridge (NZ),-
ZS Ansari (ENG),-
Ariful Haque (BDESH),-
Ashfaq Ahmed (PAK),-
MD Bailey (NZ),-
GR Beard (AUS),-
