Player,SR
DL Amiss (ENG),72.48
RA Harper (WI),73.58
WB Phillips (AUS),85.71
CWJ Athey (ENG),56.72
RS Kalpage (SL),63.93
MAR Samarasekera (SL),69.92
D Ganga (WI),59.61
CA Ingram (SA),82.32
BM McMillan (SA),73.32
CK Coventry (ZIM),88.68
Anshuman Rath (HKG),76.66
PJ Moor (ZIM),67.51
DW Hookes (AUS),72.07
PJ Hughes (AUS),75.09
AI Kallicharran (WI),62.15
JR Ratnayeke (SL),52.45
GN Yallop (AUS),63.89
AC Waller (ZIM),69.79
DM de Silva (SL),75.86
Sharjeel Khan (PAK),113.4
YK Pathan (INDIA),113.6
AT Carey (AUS),91.99
JM Davison (CAN),104.17
Aminul Islam (BDESH),56.59
Z Khan (Asia/INDIA),73.46
GB Hogg (AUS),78.68
Majid Khan (PAK),74.71
S Wettimuny (SL),48.04
Babar Hayat (HKG),78.47
R Lamba (INDIA),67.15
IH Romaine (BMUDA),64.07
JA Morkel (Afr/SA),100.25
Wasim Raja (PAK),66.95
Abdur Razzak (BDESH),76.37
AR White (IRE),62.83
Liton Das (BDESH),88.17
Saleem Yousuf (PAK),75.0
CN Evans (ZIM),75.94
Rizwan Cheema (CAN),111.53
KWR Fletcher (ENG),66.75
J Dyson (AUS),48.61
AR Cusack (IRE),64.27
AG Cremer (ZIM),62.2
G Fowler (ENG),56.32
DT Johnston (IRE),94.64
Manzoor Elahi (PAK),89.6
AM Samad (CAN),70.81
A Vala (PNG),68.29
PA Patel (INDIA),76.5
Sohaib Maqsood (PAK),83.42
MW Machan (SCOT),77.1
CJ Nevin (NZ),73.2
N Pooran (WI),110.13
CJ Tavare (ENG),48.94
TP Ura (PNG),80.49
MA Ealham (ENG),65.56
IJ Harvey (AUS),88.16
Muhammad Usman (UAE),76.83
Saqlain Mushtaq (PAK),49.58
LJ Wright (ENG),86.21
Mohammad Rizwan (PAK),89.58
J Mubarak (SL),63.13
PA Wallace (WI),60.9
SM Ervine (ZIM),85.53
PL Symcox (SA),83.61
Rameez Shahzad (UAE),84.57
PAJ DeFreitas (ENG),83.83
N Deonarine (WI),68.95
Wahab Riaz (PAK),86.4
JR Murray (WI),72.98
TG Southee (NZ),98.54
R Ashwin (INDIA),86.98
Nizakat Khan (HKG),82.92
M Muralitharan (Asia/ICC/SL),77.56
IM Chappell (AUS),77.0
DA Marillier (ZIM),70.81
Rohan Mustafa (UAE),68.12
R Powell (WI),83.12
UC Hathurusingha (SL),50.75
AC Botha (IRE),68.65
HE van der Dussen (SA),81.87
CJ Ferguson (AUS),85.32
LE Plunkett (ENG),102.7
S Ramesh (INDIA),59.15
AK Markram (SA),85.16
Qasim Umar (PAK),57.06
Abdul Qadir (PAK),75.5
DL Hemp (BMUDA),70.28
CEL Ambrose (WI),64.87
BMAJ Mendis (SL),82.7
C de Grandhomme (NZ),107.28
JF Reid (NZ),58.39
DLS van Bunge (NL),66.42
PSP Handscomb (AUS),97.38
RMH Binny (INDIA),60.13
GR Larsen (NZ),64.84
AM Blignaut (ZIM),106.28
DJ Nash (NZ),66.38
DN Patel (NZ),71.77
RR Patel (KENYA),63.49
GRJ Matthews (AUS),67.94
WV Raman (INDIA),55.63
GJ Rennie (ZIM),66.48
SFAF Bacchus (WI),65.94
RJ Ratnayake (SL),86.8
J Botha (Afr/SA),85.77
D Gough (ENG/ICC),64.3
AJ Hollioake (ENG),75.09
RW Chakabva (ZIM),58.89
RIC Holder (WI),68.37
RT Robinson (ENG),58.18
BM Laird (AUS),53.75
Mansoor Akhtar (PAK),51.65
W Larkins (ENG),56.44
LOB Cann (BMUDA),117.06
AU Rashid (ENG),102.43
FDM Karunaratne (SL),73.15
RJ Nicol (NZ),75.51
SB Joshi (INDIA),89.43
RT Latham (NZ),57.83
Khurram Khan (UAE),80.27
R Mutumbami (ZIM),71.49
JL Carter (WI),70.68
GH Dockrell (IRE),69.34
DAS Gunaratne (SL),79.41
BJ Hodge (AUS),87.51
MJR Rindel (SA),66.86
Tushar Imran (BDESH),59.17
BJ Watling (NZ),68.37
C White (ENG),61.2
SL Malinga (SL),74.5
RM Haq (SCOT),60.79
KS More (INDIA),69.67
HG Munsey (SCOT),76.77
CR Brathwaite (WI),91.04
Mominul Haque (BDESH),74.36
Aamer Malik (PAK),56.21
RJ Peterson (SA),80.81
GS Blewett (AUS),61.97
JN Mohammed (WI),69.3
Mosaddek Hossain (BDESH),86.72
AL Phehlukwayo (SA),90.0
TJ Friend (ZIM),75.69
T Duffin (ZIM),54.98
Mohammad Wasim (PAK),52.06
XM Marshall (USA/WI),66.91
AP Kuiper (SA),81.41
P Willey (ENG),62.92
MC Snedden (NZ),63.46
Athar Ali Khan (BDESH),56.29
IS Billcliff (CAN),66.7
SCJ Broad (ENG),74.61
NN Odhiambo (KENYA),71.64
B Kumar (INDIA),74.82
Naved-ul-Hasan (PAK),84.51
Amjad Ali (UAE),76.47
LK Germon (NZ),65.94
Mudassar Bukhari (NL),76.9
TAM Siriwardana (SL),98.28
KM Dabengwa (ZIM),60.39
PK Amre (INDIA),64.2
Dawlat Zadran (AFG),77.25
KD Walters (AUS),70.08
JG Bracewell (NZ),71.4
DP Viljoen (ZIM),61.91
JM Brearley (ENG),45.53
WD Parnell (SA),78.39
AO Suji (KENYA),51.79
AN Petersen (SA),82.62
Taufeeq Umar (PAK),56.31
PR Reiffel (AUS),70.94
AR Nurse (WI),97.85
JE Emburey (ENG),75.45
Ghulam Shabber (UAE),62.5
GP Swann (ENG),90.41
